12,2007,6228
6,2016,1346221
8,2012,504304
1,2016,1285277
1,2017,1580631
5,2009,20623
10,2008,12250
12,2013,821556
2,2014,821367
3,2017,1603058
8,2013,707351
11,2016,1450203
10,2009,38812
8,2007,4458
9,2014,934523
2,2016,1240627
8,2016,1423967
6,2013,675631
12,2011,285812
11,2011,265460
3,2015,1137073
12,2006,1947
4,2016,1314908
10,2010,91686
12,2012,550358
2,2007,2521
3,2014,862311
6,2014,858937
11,2015,1226223
8,2006,1414
10,2012,510506
6,2012,431231
8,2009,28054
1,2015,1116133
12,2005,68
11,2013,782177
12,2009,44791
4,2009,18776
10,2013,741629
6,2008,9371
4,2008,7644
10,2015,1227055
6,2006,858
9,2008,10906
1,2013,612707
12,2015,1240440
2,2012,326824
11,2006,1844
4,2007,3038
11,2014,987125
6,2015,1143260
4,2006,668
7,2011,197062
8,2014,937640
5,2012,402543
6,2010,61984
1,2009,16124
2,2008,7298
10,2007,5227
11,2007,5596
3,2011,143279
1,2014,859513
6,2011,181714
7,2009,24250
1,2008,7372
10,2014,976986
5,2007,3621
7,2006,1097
7,2013,702393
9,2015,1175176
8,2010,73406
10,2016,1448112
9,2007,4885
5,2006,839
11,2010,102995
2,2006,416
12,2014,1038029
7,2014,917337
3,2016,1294074
9,2013,681775
4,2011,149991
1,2006,196
9,2009,33160
9,2012,487977
3,2010,55667
7,2015,1212014
12,2016,1504168
2,2010,49769
12,2010,111309
2,2017,1494806
11,2009,39822
7,2010,69149
10,2006,1606
11,2012,522029
9,2016,1390785
2,2015,1072672
5,2010,58762
6,2007,3690
9,2011,230345
1,2010,50169
5,2008,8637
10,2011,255240
8,2008,9786
2,2009,16684
12,2008,13668
4,2014,863447
1,2012,319115
3,2008,7733
7,2016,1376299
3,2007,2986
5,2016,1335926
5,2013,675152
8,2015,1219860
11,2008,12771
5,2014,866364
3,2009,17861
5,2011,168017
1,2011,122533
2,2013,577785
6,2009,22504
2,2011,124831
7,2007,4051
7,2008,9560
9,2010,83782
9,2006,1449
3,2006,532
8,2011,222818
5,2015,1152984
4,2010,57052
3,2013,627083
7,2012,472671
1,2007,2263
4,2015,1150001
4,2013,671914
3,2012,355512
4,2012,381669
