12,2005,7
1,2006,29
2,2006,58
3,2006,83
4,2006,129
5,2006,156
6,2006,173
7,2006,212
8,2006,310
9,2006,280
10,2006,325
11,2006,355
12,2006,393
1,2007,461
2,2007,538
3,2007,632
4,2007,671
5,2007,819
6,2007,830
7,2007,984
8,2007,1025
9,2007,1165
10,2007,1264
11,2007,1399
12,2007,1572
1,2008,1901
2,2008,1870
3,2008,2065
4,2008,1967
5,2008,2338
6,2008,2454
7,2008,2537
8,2008,2546
9,2008,2952
10,2008,3374
11,2008,3365
12,2008,3513
1,2009,4325
2,2009,4237
3,2009,4617
4,2009,4863
5,2009,5422
6,2009,5833
7,2009,6489
8,2009,7625
9,2009,8940
10,2009,10387
11,2009,10787
12,2009,12123
1,2010,13886
2,2010,13289
3,2010,15408
4,2010,15579
5,2010,16147
6,2010,17144
7,2010,19293
8,2010,20442
9,2010,23078
10,2010,25095
11,2010,28514
12,2010,30267
1,2011,33165
2,2011,32719
3,2011,38442
4,2011,39533
5,2011,44962
6,2011,49538
7,2011,53159
8,2011,61698
9,2011,61870
10,2011,68989
11,2011,70231
12,2011,75347
1,2012,84406
2,2012,84962
3,2012,93488
4,2012,100015
5,2012,106510
6,2012,114066
7,2012,125738
8,2012,134268
9,2012,125779
10,2012,131831
11,2012,133266
12,2012,140428
1,2013,160575
2,2013,146528
3,2013,162745
4,2013,175825
5,2013,175812
6,2013,175124
7,2013,184653
8,2013,184948
9,2013,173756
10,2013,192116
11,2013,202151
12,2013,212412
1,2014,225122
2,2014,210171
3,2014,225261
4,2014,224838
5,2014,226477
6,2014,224982
7,2014,244621
8,2014,248543
9,2014,246017
10,2014,257633
11,2014,257819
12,2014,271254
1,2015,298037
2,2015,280354
3,2015,303427
4,2015,305658
5,2015,307054
6,2015,304075
7,2015,325885
8,2015,325962
9,2015,312198
10,2015,329068
11,2015,322602
12,2015,329010
1,2016,342586
2,2016,328285
3,2016,347152
4,2016,351858
5,2016,357414
6,2016,360206
7,2016,364940
8,2016,381634
9,2016,370817
10,2016,389414
11,2016,388070
12,2016,400600
1,2017,428226
2,2017,394368
3,2017,430332
